Date,Open*,High,Low,Close**,Volume,Market Cap
2018-06-16,0.11896,0.123452,0.103641,0.11167,"3,124","4,333,389"
2018-06-15,0.122539,0.130894,0.119395,0.119395,"2,148","4,633,160"
2018-06-14,0.114802,0.133717,0.114802,0.122668,"6,798","4,760,170"
2018-06-13,0.125413,0.130171,0.11104,0.114853,"4,837","4,456,907"
2018-06-12,0.139355,0.141207,0.115774,0.125083,"6,073","4,853,885"
2018-06-11,0.14197,0.14197,0.133163,0.13943,"1,729","5,410,625"
2018-06-10,0.14775,0.150907,0.131975,0.141768,"4,699","5,501,352"
2018-06-09,0.145261,0.156653,0.14216,0.147565,"13,142","5,726,306"
2018-06-08,0.147889,0.148537,0.136913,0.145315,"5,366","5,638,994"
2018-06-07,0.149217,0.156323,0.146503,0.147763,"4,052","5,733,990"
2018-06-06,0.14838,0.160297,0.14806,0.149102,"1,952","5,785,950"
2018-06-05,0.141195,0.163822,0.139998,0.14842,"2,969","5,759,485"
2018-06-04,0.156965,0.178279,0.140938,0.141128,"10,045","5,476,516"
2018-06-03,0.15291,0.164133,0.152291,0.156954,"3,387","6,090,649"
2018-06-02,0.148959,0.158979,0.146564,0.152877,"1,448","5,932,440"
2018-06-01,0.153217,0.153757,0.138796,0.149024,"5,639","5,782,923"
2018-05-31,0.147889,0.158269,0.147457,0.153073,"8,893","5,940,046"
2018-05-30,0.158505,0.164838,0.147478,0.147933,"5,373","5,740,587"
2018-05-29,0.156309,0.162724,0.152532,0.158398,"5,505","6,146,684"
2018-05-28,0.167822,0.170276,0.152423,0.156385,"13,798","6,068,569"
2018-05-27,0.169141,0.16921,0.161449,0.167785,"1,550","6,510,950"
2018-05-26,0.164852,0.174773,0.164581,0.169067,"2,522","6,560,698"
2018-05-25,0.180322,0.189818,0.162966,0.165069,"10,436","6,405,554"
2018-05-24,0.188596,0.204291,0.17512,0.179984,"14,712","6,984,336"
2018-05-23,0.207923,0.220839,0.185299,0.189084,"18,126","7,337,464"
2018-05-22,0.207707,0.226059,0.195886,0.208139,"23,225","8,076,899"
2018-05-21,0.213428,0.21589,0.199642,0.207751,"16,518","8,061,843"
2018-05-20,0.183275,0.216953,0.181166,0.213161,"19,765","8,271,780"
2018-05-19,0.202118,0.203987,0.182987,0.183137,"18,625","7,106,689"
2018-05-18,0.176195,0.202148,0.174753,0.202148,"14,126","7,844,417"
2018-05-17,0.178501,0.19753,0.17392,0.176041,"17,216","6,831,326"
2018-05-16,0.161131,0.178391,0.15027,0.178391,"22,445","6,922,519"
2018-05-15,0.165729,0.168472,0.150773,0.162856,"23,254","6,319,678"
2018-05-14,0.166606,0.178961,0.163224,0.166013,"5,663","6,442,187"
2018-05-13,0.183411,0.184088,0.156222,0.166638,"18,296","6,466,440"
2018-05-12,0.166843,0.183476,0.144775,0.183476,"46,969","7,119,844"
2018-05-11,0.192254,0.192254,0.161042,0.167335,"21,965","6,493,487"
2018-05-10,0.202197,0.212023,0.152125,0.192025,"109,488","7,451,590"
2018-05-09,0.230236,0.23799,0.181716,0.202254,"48,780","7,848,530"
2018-05-08,0.256973,0.258594,0.222302,0.230587,"53,620","8,948,001"
2018-05-07,0.258266,0.273493,0.244779,0.256414,"23,427","9,950,226"
2018-05-06,0.291476,0.293401,0.247911,0.256271,"36,865","9,944,677"
2018-05-05,0.295362,0.314874,0.281706,0.285819,"14,997","11,091,296"
2018-05-04,0.302624,0.307605,0.270704,0.295502,"34,116","11,467,048"
2018-05-03,0.289932,0.305367,0.270016,0.302755,"42,177","11,748,503"
2018-05-02,0.265358,0.294958,0.256199,0.289954,"32,776","11,174,436"
2018-05-01,0.272925,0.305535,0.250424,0.26901,"21,954","10,367,282"
